model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
wiener,matr,cycle,published,truncH,1.0,300,1000,0.00030065064188019035,2.6354202397435857e-08,3.4520597915246496e-06,-6918.4919802677505,True,80,,,,,
gamma,matr,cycle,published,truncH,1.0,300,1000,,,,-8544.1426492397,True,80,0.046173658206767894,1.2852058205723136,0.004454135466777005,25.0,0.00016002396297740083
wiener,matr,normalised,published,truncH,1.0,150,500,0.16890366651546962,0.017091038923996348,0.0023091721442574102,-5281.229235100246,False,97,,,,,
gamma,matr,normalised,published,truncH,1.0,150,500,,,,-7281.510134429656,True,97,67.06108334544687,1.25101957419385,0.0010531999282809602,0.03172588832487311,0.05645693291040703
wiener,matr,normalised,published,truncH,1.0,150,800,0.2108425876397358,0.01761214775697364,0.002451170152364963,-7530.794146243019,False,94,,,,,
gamma,matr,normalised,published,truncH,1.0,150,800,,,,-9618.517134432925,True,94,42.494993272978505,1.1995524849502506,0.002684790952592755,0.03172588832487311,0.09511061408414687
wiener,matr,normalised,published,truncH,1.0,150,1000,0.23691271576142928,0.016364482732169363,0.002720223103667723,-6918.4919802677505,True,80,,,,,
gamma,matr,normalised,published,truncH,1.0,150,1000,,,,-8544.142649239697,True,80,36.38484273028424,1.285205478149825,0.004454134741780297,0.03172588832487311,0.1260988961177448
wiener,matr,normalised,published,truncH,1.0,200,500,0.16890366651546962,0.017091038923996348,0.0023091721442574102,-5281.229235100246,False,97,,,,,
gamma,matr,normalised,published,truncH,1.0,200,500,,,,-7281.510134429656,True,97,67.06108334544687,1.25101957419385,0.0010531999282809602,0.03172588832487311,0.05645693291040703
wiener,matr,normalised,published,truncH,1.0,200,800,0.2108425876397358,0.01761214775697364,0.002451170152364963,-7530.794146243019,False,94,,,,,
gamma,matr,normalised,published,truncH,1.0,200,800,,,,-9618.517134432925,True,94,42.494993272978505,1.1995524849502506,0.002684790952592755,0.03172588832487311,0.09511061408414687
wiener,matr,normalised,published,truncH,1.0,200,1000,0.23691271576142928,0.016364482732169363,0.002720223103667723,-6918.4919802677505,True,80,,,,,
gamma,matr,normalised,published,truncH,1.0,200,1000,,,,-8544.142649239697,True,80,36.38484273028424,1.285205478149825,0.004454134741780297,0.03172588832487311,0.1260988961177448
wiener,matr,normalised,published,truncH,1.0,300,500,0.16890366651546962,0.017091038923996348,0.0023091721442574102,-5281.229235100246,False,97,,,,,
gamma,matr,normalised,published,truncH,1.0,300,500,,,,-7281.510134429656,True,97,67.06108334544687,1.25101957419385,0.0010531999282809602,0.03172588832487311,0.05645693291040703
wiener,matr,normalised,published,truncH,1.0,300,800,0.2108425876397358,0.01761214775697364,0.002451170152364963,-7530.794146243019,False,94,,,,,
gamma,matr,normalised,published,truncH,1.0,300,800,,,,-9618.517134432925,True,94,42.494993272978505,1.1995524849502506,0.002684790952592755,0.03172588832487311,0.09511061408414687
wiener,matr,normalised,published,truncH,1.0,300,1000,0.23691271576142928,0.016364482732169363,0.002720223103667723,-6918.4919802677505,True,80,,,,,
