model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
random forest,matr,normalised,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.29890615439641177,0.049747352152134765,0.19021822721564988,0.9697802197802198
wiener,matr,normalised,published,truncH,1.0,150,800,39,1,38,19,0.5,0.40939689764976056,0.24857381511587656,0.6880042785742019,0.6426592797783934
gamma,matr,normalised,published,truncH,1.0,150,800,39,1,38,19,0.5,0.23103807538170523,0.34213253868892984,0.9938430718660598,0.6426592797783934
cloglog hazard model,matr,normalised,published,truncH,1.0,150,800,39,1,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,normalised,published,truncH,1.0,150,800,39,1,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,normalised,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.6514466756260895,0.2416485009505822,0.7004182322486592,0.4545454545454545
gamma,matr,normalised,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.45011097317356086,0.35964114596480795,1.0955455927503068,0.4545454545454545
cloglog hazard model,matr,normalised,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,normalised,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.6705144162359845,0.07665560413798281,0.2506701181752247,0.9545454545454546
wiener,matr,normalised,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.03951865823850339,0.29284222436894164,1.4862153182828985,0.728021978021978
gamma,matr,normalised,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.0387466319756215,0.2979786581669713,2.5051306122657575,0.728021978021978
cloglog hazard model,matr,normalised,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,normalised,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.28653284292213244,0.04217170260672579,0.1533676728881329,0.978021978021978
